"HolderAddress","Unique Tokens","Quantity","PendingBalanceUpdate"
"0x2c97ca3fc400d617ab3797880c06309fbd15e14c","1","1","No"
"0x70e439584ef1ba300106b9c16543eaa1de676dc2","1","1","No"
"0x9c8f81b6dac8b0e2ffab1a544e0944f0c7c6d664","1","1","No"
"0xb3f2a049ba7ff3debad43515e8f29c9fc31c5d06","1","1","No"
"0x7cc78773cf63b47cbbc5aad573ace669d3ab4feb","1","1","No"
"0xafb50e978276e07d3ae3fcc7a96a8b05c5650e22","1","1","No"
"0x3e26163c5f8f9716816febb5ae21ac7835b5fa1b","1","1","No"
"0x519b01527d3e27a31476a7ab037f263bf25b46d1","1","1","No"
"0xb1a4a52bf296bb2f0ca995f6b898b88d4c4eb4e3","1","1","No"
"0xdf35ab11698d61891f81126b6e391dd6e43db5bd","1","1","No"
"0x77956a9d1b9901bbe4cfc2ed37db17500fbe7b0c","1","1","No"
"0x158277423573692f1395ea2a79207c86bff63c07","1","1","No"
"0x0730adf4229b97a3362fcae4d77ac93f41508792","1","1","No"
"0x15977e15d7b24c76f94d2902970e0f0eedd78618","1","1","No"
"0x3e379f4304319a302a49d5aed685159c81ad8ebc","1","1","No"
"0xafa5039f3330af767b8d8bde552666c5b2910cc2","1","1","No"
"0xb2be6d8e872c7b08085d9dce6afcbd0286c75b0a","1","1","No"
"0xf86ef7e28a737a9d5c4715024d3e168e814847b5","1","1","No"
"0xdea4c9f77625481eabc33cbcf34469c2384bcf08","1","1","No"
"0x17d60e33385700247741d8a0c2db0d4ac28130d7","1","1","No"
"0x87b675e9219a3b870df51449268b8c8c2241bf0c","1","1","No"
"0xc45e56728ab5f34616dc379e77b057ea591156fd","1","1","No"
"0x6cdfafd6e4566b7284ced31cf9dff7ee1a6c7f06","1","1","No"
"0x178ab90a4b98e76ac6aecb2636cb1f3ae0326159","1","1","No"
"0x66e9f46576af2322d1ad489618597ab6073aa3ab","1","1","No"
"0x75e1e79a202d63b95f49e90ccc59e20562683415","1","1","No"
"0x545fd1d8546a692a05794311b34d721d87cf4cb4","1","1","No"
"0xb5dc07e23308ec663e743b1196f5a5569e4e0555","1","1","No"
"0xdf96b858345e725655ca0e8e4eccfa00b1b68f5d","1","1","No"
"0x1e2fc6dabdbce1b991ee26daf32a64400d7884df","1","1","No"
"0x2239ff85f256b0ad09502e6b757ad4c0a747a899","1","1","No"
"0x397bdffd614628fe57327bd0b0d4f8c6ec2d9065","1","1","No"
"0x936915a08e7c18b649a02203b9706bed489f9c68","1","1","No"
"0xe5819387cd129a69d27450f0410d738406b0a985","1","1","No"
"0x5c2f741f0ac4ee5fc470e51f8edf115fcd47aaaa","1","1","No"
"0x4166ba4ca1404ef7659834cfbcfa115bc7043f32","1","1","No"
"0xdcdb53e8e1123baa64a0b7d3da13e360ca843797","1","1","No"
"0x24749aedf18208ab74a8110e07e820286bb5acf8","1","1","No"
"0x97b90fbc8904f861f76cb06bfa0a465b72c5e662","1","1","No"
"0xac6322f51e4f50d6d2159a84bba49db0cf416dcb","1","1","No"
"0x6e8d55b532169429bc9cb83f944cd62156d173a4","1","1","No"
"0x8e437c286498dd2a6216ede8722e6b742e253269","1","1","No"
"0x94060344ccd973d407cc7a47dca52b5abcbcb295","1","1","No"
"0x309d44fe6f4b52733906206a707a67e077ad06ff","1","1","No"
"0x2e4601bd54a44ff8bf44097c6e49dde816cbcffe","1","1","No"
"0x2c61eb8ca0bd5e41e88c08054bc87b30797ac06d","1","1","No"
"0x887c3599c4826f7b3cde82003b894430f27d5b92","1","1","No"
"0x0a12aa80e67ec7dc943a5cfaf4576fb026fc7381","1","1","No"
"0x03e05ee8b14fa34e4263454622ae2e21d448e173","1","1","No"
"0x4cef52869aacbdb295694ac8f9bc9007edbe1d15","1","1","No"
"0x2969fd8c49d15b596afafc0618df3041f654dc80","1","1","No"
"0xecd02810db92ff027ea1b0850d46bda963676d74","1","1","No"
"0x8246a1037d0e1b0a70034e7769a0196dfec83988","1","1","No"
"0x9a44394ffd96a78d0b5c5b2f5dcff6052c70176d","1","1","No"
"0x3501e6b12eb67ef7db9ef4c779d127b0e5b6f6e6","1","1","No"
"0xb98add9f09af3ab5c1f5316b24707b75b5664d1d","1","1","No"
"0xa75ea297fda4c3a11f600d284d1934e0140f34eb","1","1","No"
"0xf9107317b0ff77ed5b7adea15e50514a3564002b","1","1","No"
"0xca278cb118eb29f97ba640ebf5d0e9e405c4f849","1","1","No"
"0x2f5f5c84ff5805e78974c6bfcbadaca47e663c9d","1","1","No"
"0x9915ce890f0cb01ef89126014692e2c51f08b33c","1","1","No"
"0x2f74208cbe47359e3476794d1bb49d3b59e00a8a","1","1","No"
"0xf2aeb87d080a74ff64f3dc0e4ac6959bda1b752f","1","1","No"
"0x8ce72f0bc8c11a23992227498ec5a1776171a913","1","1","No"
"0x15903df309f04d1e4944ceb27499301c7e6d8e55","1","1","No"
"0x1ec7aea71aa6b45fe98b8e424f99a5e9a442ec18","1","1","No"
"0x6fb2e4bfc55613eba4b912ac1b436b1b6103eb89","1","1","No"
"0x00ad6669e800c4e8e3061f1168a5ab2421e68d31","1","1","No"
"0x3da9c0de73a8b16dbf7e9ba884ccc11a6a50ef3a","1","1","No"
"0xe08753f2caf86cfa29ce24b1ca765f6f3a25a68d","1","1","No"
"0x5482273451c8fab8588bd58a2f3d6732e911ea62","1","1","No"
"0xe40c9db4b30c32dfb29f48379c21fc459337ea95","1","1","No"
"0xd316467b48cd04113dd895d9ad8649c2cb91692f","1","1","No"
"0x84de413e1358ed3df9ba3ffbce1a495d835da640","1","1","No"
"0x111118097b52f10dbe5ced3ee2ed543985311111","1","1","No"
"0x987f782b93a2438144796784baf64991367efaf4","1","1","No"
"0xe383293687408ea745266eaadf2321cb3cf12d88","1","1","No"
"0x2d6496e74ee130b66445d0b68b5d9309fb2a8df2","1","1","No"
"0xdc9d885ac5f0d70b7af6226bc96cfbb22b508858","1","1","No"
"0xf50355c156f2b608ee3c915e2a96903d190128ae","1","1","No"
"0xe9f4a19b3e27faa296b6aacabe3e5cc672169406","1","1","No"
"0x41a1842907f67af8a25338e22e45f9dc88266cee","1","1","No"
"0x4b8a4d312fa8867a7a6bde233be107767134ec17","1","1","No"
"0xcc3a1d86d0c63efc586ad54460fdb98e3f351563","1","1","No"
"0x625ac2ce995238045c0c69c09dc28e5c60907e4b","1","1","No"
"0xc9b886f9c8bc77d01902d73fd64312b7d0226111","1","1","No"
"0xd40eea594e9e6ab36aeea627248ceaef97c339e8","1","1","No"
"0xe4871ab2c20ce22e86f05fe0200def1e7fa8ddfb","1","1","No"
"0x6da9d6f1e679d61fc81fa27ffd57b1c05c288c8f","1","1","No"
"0xb326355a1ff2f8f84e30d822fbb47b0346a4b305","1","1","No"
"0x37aee6419064c5980b093cd2961b1fbea88be070","1","1","No"
"0x327b9dee1830f8201efa751fd96f7b1ad0b300a1","1","1","No"
"0x4e07ebb283634233c2348ec7bb059995e6553da6","1","1","No"
"0x5d6ca5d9838ef551bf4c52b8a47b69b60694f1cc","1","1","No"
